X,Y,OBJECTID,TRAPTYPE,ATTRACTANTSUSED,TRAPID,LATITUDE,LONGITUDE,ADDRESS,TOWN,STATE,COUNTY,TRAPSITE,TRAPSET,SETTIMEOFDAY,TRAPCOLLECT,COLLECTTIMEOFDAY,GENUS,SPECIES,LIFESTAGE,EGGSCOLLECTED,LARVAECOLLECTED,PUPAECOLLECTED,FEMALESCOLLECTED,MALESCOLLECTED,UNKNOWNCOLLECTED,REPORTDATE,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-8570034.414,4702301.206,1885,Gravid Trap,Hay or grass infusion,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2018/10/02 04:00:00+00,Afternoon,2018/10/03 04:00:00+00,Afternoon,Culex,restuans,Adult,No,No,No,5,0,0,2018/10/05 19:08:00+00,temp_1289,{A6BE961F-CE61-4B52-9860-91DC966A59EA},,,,
-8570034.414,4702301.206,1886,ABC Trap,CO2 with light,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2017/08/16 04:00:00+00,Morning,2017/08/17 04:00:00+00,Afternoon,Aedes,albopictus,Adult,No,No,No,10,1,1,2017/09/26 16:49:00+00,temp_457,{3D983323-F00F-4E6D-AD5B-62BF105C1675},,,,
-8570034.414,4702301.206,1887,BGS Trap,Lure,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2018/09/04 04:00:00+00,Afternoon,2018/09/05 04:00:00+00,Afternoon,Culex,pipiens,Adult,No,No,No,2,0,0,2018/10/05 15:13:00+00,temp_1027,{CDD1608C-A1EA-49E3-9B02-387DE5F21BEE},,,,
-8570034.414,4702301.206,1888,ABC Trap,CO2 with light,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2017/08/30 04:00:00+00,Morning,2017/08/31 04:00:00+00,Afternoon,Aedes,albopictus,Adult,No,No,No,10,1,0,2017/09/11 21:41:00+00,temp_72,{BC7900B8-66E4-4924-ABFA-41AEBDBDE746},,,,
-8570034.414,4702301.206,1889,ABC Trap,CO2 with light,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2017/06/14 04:00:00+00,Morning,2017/06/15 04:00:00+00,Afternoon,Culex,pipiens,Adult,No,No,No,2,1,0,2017/09/19 19:04:00+00,temp_156,{D735EB79-CB80-4E93-B2F8-0733C721135A},,,,
-8570034.414,4702301.206,1890,Gravid Trap,Lure and grass infusion,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2017/06/07 04:00:00+00,Morning,2017/06/08 04:00:00+00,Afternoon,Culex,pipiens,Adult,No,No,No,4,4,0,2017/09/18 23:06:00+00,temp_345,{D4E381F1-99CF-4575-BAB4-FEC0741F1921},,,,
-8570034.414,4702301.206,1891,ABC Trap,CO2 with light,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2017/07/19 04:00:00+00,Morning,2017/07/20 04:00:00+00,Afternoon,Aedes,albopictus,Adult,No,No,No,9,0,0,2017/09/21 21:21:00+00,temp_331,{DE2C56FE-349E-4A38-81FA-B95DB8E78785},,,,
-8570034.414,4702301.206,1892,ABC Trap,CO2 with light,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2017/07/12 04:00:00+00,Morning,2017/07/13 04:00:00+00,Afternoon,Aedes,aegypti,Adult,No,No,No,7,1,0,2017/09/21 20:23:00+00,temp_269,{573BE43A-3D73-4DC6-A348-877DC039F956},,,,
-8570034.414,4702301.206,1893,Gravid Trap,Lure and grass infusion,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2017/06/21 04:00:00+00,Morning,2017/06/22 04:00:00+00,Afternoon,Culex,pipiens,Adult,No,No,No,7,6,0,2017/09/19 19:31:00+00,temp_185,{DFB4955C-370B-4D24-A3C4-B4D4EBF7A86C},,,,
-8570034.414,4702301.206,1894,BGS Trap,Lure,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2018/10/30 04:00:00+00,Afternoon,2018/10/31 04:00:00+00,Afternoon,Culex,pipiens,Adult,No,No,No,3,1,0,2018/11/05 15:39:00+00,temp_770,{642F4900-A31E-4076-A757-969AD876CBD2},,,,
